GEOID,Median_Rent
1400000US06001436302,1909
1400000US06001436402,2714
1400000US06001436403,1806
1400000US06001436404,2036
1400000US06001436500,1961
1400000US06001436601,1779
1400000US06001436602,1585
1400000US06001436700,2355
1400000US06001436800,2013
1400000US06001436900,1841
1400000US06001437000,2110
1400000US06001437101,2079
1400000US06001437102,1747
1400000US06001437200,2238
1400000US06001437300,1505
1400000US06001437400,2152
1400000US06001437500,1848
1400000US06001437600,1982
1400000US06001437701,1738
1400000US06001437702,1746
1400000US06001437800,1974
1400000US06001437900,1976
1400000US06001438000,2326
1400000US06001438100,2579
1400000US06001438201,2306
1400000US06001438203,2183
1400000US06001438204,2290
1400000US06001438300,2356
1400000US06001438400,2595
1400000US06001440100,2325
1400000US06001440200,2074
1400000US06001440301,1824
1400000US06001440304,2170
1400000US06001440305,3161
1400000US06001440306,2560
1400000US06001440307,2335
1400000US06001440308,2146
1400000US06001440331,2232
1400000US06001440332,3500
1400000US06001440333,2429
1400000US06001440334,2726
1400000US06001440336,2473
1400000US06001440337,3288
1400000US06001440338,2493
1400000US06001441100,1989
1400000US06001441200,2377
1400000US06001441301,2786
1400000US06001441302,2480
1400000US06001441401,2102
1400000US06001441402,2723
1400000US06001441501,2745
1400000US06001441503,3182
1400000US06001441521,3196
1400000US06001441522,2489
1400000US06001441523,2723
1400000US06001441524,2721
1400000US06001441525,2850
1400000US06001441601,2980
1400000US06001441602,2336
1400000US06001441701,2352
1400000US06001441702,2127
1400000US06001441800,2513
1400000US06001441921,2885
1400000US06001441923,2327
1400000US06001441924,2570
1400000US06001441926,2094
1400000US06001441927,2441
1400000US06001441928,2804
1400000US06001441929,2632
1400000US06001442000,2375
1400000US06001442100,3477
1400000US06001442200,2742
1400000US06001442301,2172
1400000US06001442302,1853
1400000US06001442400,2598
1400000US06001442501,2219
1400000US06001442502,2074
1400000US06001442601,2500
1400000US06001442602,1942
1400000US06001442700,2506
1400000US06001442800,3150
1400000US06001442900,2653
1400000US06001443001,2647
1400000US06001443002,2605
1400000US06001443102,3500
1400000US06001443103,3201
1400000US06001443104,2238
1400000US06001443105,3500
1400000US06001443200,-
1400000US06001443301,2824
1400000US06001443321,2169
1400000US06001443322,2375
1400000US06001444100,1106
1400000US06001444200,2441
1400000US06001444301,2657
1400000US06001444303,-
1400000US06001444304,1961
1400000US06001444400,2434
1400000US06001444500,2343
1400000US06001444601,3282
1400000US06001444602,2652
1400000US06001450101,2960
1400000US06001450102,2754
1400000US06001450200,2654
1400000US06001450300,2893
1400000US06001450400,2671
1400000US06001450501,2814
1400000US06001450502,3011
1400000US06001450601,2692
1400000US06001450603,3138
1400000US06001450604,2471
1400000US06001450605,3031
1400000US06001450606,3407
1400000US06001450607,1935
1400000US06001450608,2286
1400000US06001450609,3013
1400000US06001450701,3135
1400000US06001450741,2195
1400000US06001450742,2714
1400000US06001450743,2578
1400000US06001450744,2918
1400000US06001450745,2797
1400000US06001450746,1813
1400000US06001450750,2558
1400000US06001450751,3500
1400000US06001450752,3500
1400000US06001451102,2868
1400000US06001451103,-
